BAST	fHbp_peptide	NHBA_peptide	NadA_peptide	PorA_VR1	PorA_VR2	MenDeVAR_Bexsero_reactivity	MenDeVAR_Trumenba_reactivity
937	4	2	0	5-1	10-1	exact match	cross-reactive
938	19	17	0	5	2	none	cross-reactive
939	260	20	0	22	26	insufficient data	insufficient data
940	47	118	0	19-2	13-3	insufficient data	cross-reactive
941	14	2	0	7-2	0	exact match	cross-reactive
942	19	311	0	22	9	insufficient data	cross-reactive
943	4	2	0	7	30-1	exact match	cross-reactive
944	134	29	0	21	16	insufficient data	insufficient data
945	4	18	0	7-2	4	exact match	cross-reactive
946	13	17	0	18-1	9	insufficient data	cross-reactive
947	13	763	0	22	9	insufficient data	cross-reactive
948	728	291	0	19-1	15-11	insufficient data	insufficient data
949	99	17	0	22	9	insufficient data	insufficient data
950	84	47	0	5	2	insufficient data	insufficient data
951	210	21	0	19-1	15-11	insufficient data	insufficient data
952	4	761	0	7-2	4	exact match	cross-reactive
953	109	17	0	22	9	none	insufficient data
954	19	2	0	12-1	13-1	exact match	cross-reactive
955	278	762	0	7-2	4	exact match	insufficient data
956	819	24	0	21	16-36	insufficient data	insufficient data
957	14	2	0	17	16-4	exact match	cross-reactive
958	830	118	0	19-2	13-1	insufficient data	insufficient data
959	24	24	0	22	9	insufficient data	insufficient data
960	21	20	0	22	14-3	insufficient data	cross-reactive
961	826	26	0	7-2	4	exact match	insufficient data
962	232	249	0	17	9	cross-reactive	insufficient data
963	14	752	0	18-1	3	cross-reactive	cross-reactive
964	13	7	0	5-1	10-10	insufficient data	cross-reactive
965	37	6	0	22-13	14	cross-reactive	insufficient data
966	4	2	0	19	15-1	exact match	cross-reactive
967	827	21	0	22	9	insufficient data	insufficient data
968	24	7	0	5-1	10-4	insufficient data	insufficient data
969	24	20	0	5-1	2-59	insufficient data	insufficient data
970	260	47	0	22	9	insufficient data	insufficient data
971	94	18	0	5-1	10-22	insufficient data	insufficient data
972	19	47	0	7	30	none	cross-reactive
973	141	21	0	19-1	15-11	insufficient data	insufficient data
974	589	24	0	5	2	insufficient data	insufficient data
975	47	118	0	19-2	13-9	insufficient data	cross-reactive
976	25	24	0	5	10-1	insufficient data	cross-reactive
977	15	255	0	17-1	23	cross-reactive	cross-reactive
978	47	197	0	19-1	13-1	none	cross-reactive
979	19	6	0	7-4	14-6	none	cross-reactive
980	13	17	0	5-1	10-1	insufficient data	cross-reactive
981	220	21	0	19	15	insufficient data	insufficient data
982	16	9	0	5-1	10-8	none	cross-reactive
983	16	47	0	5-1	10-8	none	cross-reactive
984	15	21	0	7-2	16	cross-reactive	cross-reactive
985	144	20	0	5	2	cross-reactive	insufficient data
986	19	118	0	22	9	insufficient data	cross-reactive
987	101	9	0	5-1	10-1	insufficient data	insufficient data
988	824	17	0	22	9	insufficient data	insufficient data
989	19	29	0	19	15-7	insufficient data	cross-reactive
990	37	6	0	18-1	3	cross-reactive	insufficient data
991	25	197	0	19-1	13-1	none	cross-reactive
992	19	47	0	7	30-1	none	cross-reactive
993	19	17	0	22-1	4	exact match	cross-reactive
994	14	753	0	7-2	4	exact match	cross-reactive
995	94	3	141	7	16	insufficient data	insufficient data
996	19	759	0	22	9	insufficient data	cross-reactive
997	831	21	0	5	2	insufficient data	insufficient data
998	13	173	0	18-1	34	insufficient data	cross-reactive
999	25	760	0	7-2	4	exact match	cross-reactive
1000	15	657	0	19-1	15-11	cross-reactive	cross-reactive
1001	19	17	0	22	4	exact match	cross-reactive
1002	15	764	0	19-1	15-11	cross-reactive	cross-reactive
1003	147	7	0	5-1	10-4	insufficient data	insufficient data
1004	14	21	0	22-1	14	cross-reactive	cross-reactive
1005	15	21	0	19-1	16	cross-reactive	cross-reactive
1006	16	20	0	5-1	10-8	insufficient data	cross-reactive
1007	186	2	0	19-3	15	exact match	insufficient data
1008	19	17	0	19	16	none	cross-reactive
1009	47	118	0	5	2	insufficient data	cross-reactive
1010	19	24	0	0	0	insufficient data	cross-reactive
1011	16	20	0	0	0	insufficient data	cross-reactive
1012	4	2	0	0	0	exact match	cross-reactive
1013	64	29	6	5	2	cross-reactive	insufficient data
1014	1	376	1	7	16	exact match	cross-reactive
1015	1	3	1	7-2	4	exact match	cross-reactive
1016	1	3	1	7	16-32	exact match	cross-reactive
1017	1	94	1	7-2	16	exact match	cross-reactive
1018	1	639	1	7-2	16	exact match	cross-reactive
1019	1	3	1	18-1	16-111	exact match	cross-reactive
1020	1	3	1	7-4	1	exact match	cross-reactive
1021	1	187	1	19	15-51	exact match	cross-reactive
1022	1	5	1	7	16-15	exact match	cross-reactive
1023	1	3	1	5-2	10-27	exact match	cross-reactive
1024	1	3	1	5-1	2-2	exact match	cross-reactive
1025	1	3	136	19	15	exact match	cross-reactive
1026	1	3	1	7-11	10-1	exact match	cross-reactive
1027	1	3	1	7-11	16	exact match	cross-reactive
1028	1	3	110	7-2	13	exact match	cross-reactive
1029	1	699	1	12-1	13-1	exact match	cross-reactive
1030	1	3	1	7	30-2	exact match	cross-reactive
1031	1	20	0	18-1	3	exact match	cross-reactive
1032	1	3	1	7	16-59	exact match	cross-reactive
1033	1	3	1	7-2	13	exact match	cross-reactive
1034	1	31	0	19	15	exact match	cross-reactive
1035	1	3	113	7	16	exact match	cross-reactive
1036	1	3	110	18-1	16-111	exact match	cross-reactive
1037	1	118	0	19-2	13	exact match	cross-reactive
1038	2	20	0	7-1	1	insufficient data	insufficient data
1039	2	635	0	12-1	13-1	insufficient data	insufficient data
1040	4	2	0	5-1	10-8	exact match	cross-reactive
1041	4	148	0	5-1	10-4	cross-reactive	cross-reactive
1042	4	2	0	18-1	3-8	exact match	cross-reactive
1043	4	634	0	7-2	4	exact match	cross-reactive
1044	4	21	0	18	13-1	cross-reactive	cross-reactive
1045	4	2	0	22	14-6	exact match	cross-reactive
1046	4	501	0	18	25	cross-reactive	cross-reactive
1047	4	2	0	5-1	2-2	exact match	cross-reactive
1048	4	624	0	7-2	4	exact match	cross-reactive
1049	4	607	0	17-1	23-7	cross-reactive	cross-reactive
1050	4	92	0	7-2	4	exact match	cross-reactive
1051	4	274	0	7-2	4	exact match	cross-reactive
1052	4	20	21	5-1	2-2	cross-reactive	cross-reactive
1053	5	27	8	20	10-1	exact match	insufficient data
1054	5	358	8	20	10-1	exact match	insufficient data
1055	5	72	8	5-2	10	exact match	insufficient data
1056	9	96	134	5	2	insufficient data	insufficient data
1057	11	20	129	5-1	10-8	insufficient data	insufficient data
1058	13	710	0	17	16-3	insufficient data	cross-reactive
1059	13	6	0	18-1	3	insufficient data	cross-reactive
1060	13	24	0	18-1	3	insufficient data	cross-reactive
1061	13	20	0	7-36	14	insufficient data	cross-reactive
1062	13	6	0	5-2	10	insufficient data	cross-reactive
1063	13	47	0	19	15	insufficient data	cross-reactive
1064	13	113	0	5-3	2-72	cross-reactive	cross-reactive
1065	13	306	0	19	15	insufficient data	cross-reactive
1066	13	24	0	22	26	insufficient data	cross-reactive
1067	13	2	0	7-2	30-2	exact match	cross-reactive
1068	13	53	0	5-3	10-2	insufficient data	cross-reactive
1069	13	114	138	21-7	16	insufficient data	cross-reactive
1070	13	2	0	18-7	9	exact match	cross-reactive
1071	14	188	0	17	16-4	cross-reactive	cross-reactive
1072	14	113	0	7-2	4	exact match	cross-reactive
1073	14	10	0	7-2	4	exact match	cross-reactive
1074	14	2	0	19	15	exact match	cross-reactive
1075	14	2	0	7-2	4-13	exact match	cross-reactive
1076	14	29	0	7-2	4	exact match	cross-reactive
1077	14	24	0	7-2	4	exact match	cross-reactive
1078	14	2	0	7-2	4-12	exact match	cross-reactive
1079	14	305	0	22	14	cross-reactive	cross-reactive
1080	14	629	0	7-2	4	exact match	cross-reactive
1081	14	2	0	18	25	exact match	cross-reactive
1082	14	470	0	7	30	cross-reactive	cross-reactive
1083	14	2	0	7-2	13-1	exact match	cross-reactive
1084	14	470	0	22	14-6	cross-reactive	cross-reactive
1085	14	24	0	7-2	14	cross-reactive	cross-reactive
1086	14	2	0	22	13	exact match	cross-reactive
1087	14	701	0	7-2	4	exact match	cross-reactive
1088	14	633	0	18	25	cross-reactive	cross-reactive
1089	14	2	0	7-2	10-7	exact match	cross-reactive
1090	14	26	0	7-2	4	exact match	cross-reactive
1091	14	2	0	19	4	exact match	cross-reactive
1092	14	2	0	7-2	15	exact match	cross-reactive
1093	14	644	0	7-2	4	exact match	cross-reactive
1094	14	652	0	7-2	4	exact match	cross-reactive
1095	14	2	0	12-20	13-1	exact match	cross-reactive
1096	14	700	0	7-2	4	exact match	cross-reactive
1097	14	2	0	7-2	30	exact match	cross-reactive
1098	14	640	0	19-2	13-1	cross-reactive	cross-reactive
1099	14	2	0	5-2	10-2	exact match	cross-reactive
1100	14	632	0	7-2	13-9	cross-reactive	cross-reactive
1101	14	2	0	7-2	30-4	exact match	cross-reactive
1102	15	21	0	5-1	10-4	cross-reactive	cross-reactive
1103	15	221	0	19-1	15-11	cross-reactive	cross-reactive
1104	16	20	0	19-5	15	insufficient data	cross-reactive
1105	16	101	135	18-1	3	insufficient data	cross-reactive
1106	16	6	0	22	14	none	cross-reactive
1107	16	693	0	5-1	10-4	insufficient data	cross-reactive
1108	16	642	0	18-1	3	insufficient data	cross-reactive
1109	16	711	0	7-2	4	exact match	cross-reactive
1110	16	711	0	7-2	10-1	insufficient data	cross-reactive
1111	16	2	0	18-1	3	exact match	cross-reactive
1112	16	20	0	7-15	1	insufficient data	cross-reactive
1113	16	2	0	18-1	3-7	exact match	cross-reactive
1114	16	630	0	5-3	2-16	insufficient data	cross-reactive
1115	16	696	0	5-1	10-4	insufficient data	cross-reactive
1116	16	627	0	7-2	14	insufficient data	cross-reactive
1117	16	306	0	17	16-3	insufficient data	cross-reactive
1118	16	656	0	19	15	insufficient data	cross-reactive
1119	16	694	0	18-1	3	insufficient data	cross-reactive
1120	19	116	0	21	16	insufficient data	cross-reactive
1121	19	10	0	7-2	4	exact match	cross-reactive
1122	19	2	0	19-1	26	exact match	cross-reactive
1123	19	6	0	7-1	1	none	cross-reactive
1124	19	2	110	7-2	13-1	exact match	cross-reactive
1125	19	43	0	18-1	3	none	cross-reactive
1126	19	2	1	7-2	13-1	exact match	cross-reactive
1127	19	42	0	21-2	28	insufficient data	cross-reactive
1128	19	31	0	22	13-1	none	cross-reactive
1129	19	6	0	18-1	3	none	cross-reactive
1130	19	6	0	21	16	none	cross-reactive
1131	19	2	0	5-1	10-1	exact match	cross-reactive
1132	19	289	0	12-1	13-2	insufficient data	cross-reactive
1133	19	31	0	18-1	34	none	cross-reactive
1134	19	10	0	21	16-5	cross-reactive	cross-reactive
1135	19	9	0	5-1	10-40	none	cross-reactive
1136	19	476	0	19	15-1	insufficient data	cross-reactive
1137	19	116	0	21	16-32	insufficient data	cross-reactive
1138	19	2	0	12-1	13-43	exact match	cross-reactive
1139	19	32	0	7-2	13-1	insufficient data	cross-reactive
1140	19	477	0	7-4	16	insufficient data	cross-reactive
1141	19	47	0	19	15	none	cross-reactive
1142	19	43	0	22-1	14	none	cross-reactive
1143	19	506	0	22	14-3	insufficient data	cross-reactive
1144	19	546	0	19-1	26	insufficient data	cross-reactive
1145	19	337	0	7	15	insufficient data	cross-reactive
1146	19	312	0	7-1	1	insufficient data	cross-reactive
1147	19	6	0	12-1	13	none	cross-reactive
1148	19	631	0	18-1	34	insufficient data	cross-reactive
1149	19	2	0	22	14-6	exact match	cross-reactive
1150	19	581	0	21-2	28	insufficient data	cross-reactive
1151	19	1	0	19	15	cross-reactive	cross-reactive
1152	19	31	0	5-1	10-8	none	cross-reactive
1153	19	578	0	12-3	4	exact match	cross-reactive
1154	19	538	0	7-4	16	insufficient data	cross-reactive
1155	19	507	0	7-1	1	insufficient data	cross-reactive
1156	19	2	0	22	26	exact match	cross-reactive
1157	19	31	0	17-1	10-2	none	cross-reactive
1158	19	17	0	7-2	14	none	cross-reactive
1159	19	29	0	5	2	insufficient data	cross-reactive
1160	19	24	0	5-2	10	insufficient data	cross-reactive
1161	19	2	0	19-5	15-15	exact match	cross-reactive
1162	19	715	0	17-1	23	insufficient data	cross-reactive
1163	19	29	0	22	14-6	insufficient data	cross-reactive
1164	19	2	0	7	2-1	exact match	cross-reactive
1165	21	3	100	7	16-26	insufficient data	cross-reactive
1166	21	6	8	21	16-47	exact match	cross-reactive
1167	21	9	8	7-2	15-53	exact match	cross-reactive
1168	21	706	0	5	2	insufficient data	cross-reactive
1169	21	9	0	5-1	10-1	none	cross-reactive
1170	21	6	8	5	2	exact match	cross-reactive
1171	21	6	0	21	16	none	cross-reactive
1172	21	38	0	22	14	insufficient data	cross-reactive
1173	22	29	128	5	2	insufficient data	insufficient data
1174	22	29	92	22-5	14-6	insufficient data	insufficient data
1175	22	29	127	5-2	10-28	insufficient data	insufficient data
1176	22	3	1	7	16	insufficient data	insufficient data
1177	22	24	0	5	2	insufficient data	insufficient data
1178	22	29	121	5	2-27	insufficient data	insufficient data
1179	22	690	0	18-1	3	insufficient data	insufficient data
1180	22	248	3	5	2	cross-reactive	insufficient data
1181	22	3	0	7	16	insufficient data	insufficient data
1182	22	29	3	5-2	10-1	cross-reactive	insufficient data
1183	22	29	127	21-7	16	insufficient data	insufficient data
1184	22	29	142	5	2	insufficient data	insufficient data
1185	23	101	0	7-1	1	insufficient data	cross-reactive
1186	23	29	0	5-1	10-1	insufficient data	cross-reactive
1187	24	31	0	7-2	13-1	none	insufficient data
1188	24	540	0	22	14-6	insufficient data	insufficient data
1189	24	3	1	19	15	insufficient data	insufficient data
1190	24	29	0	5	2	insufficient data	insufficient data
1191	24	20	124	22	13-1	insufficient data	insufficient data
1192	24	10	0	17	16-94	cross-reactive	insufficient data
1193	24	21	0	7-2	4	exact match	insufficient data
1194	24	12	8	7-1	1	exact match	insufficient data
1195	24	20	8	22	13-1	exact match	insufficient data
1196	24	337	0	7	15-28	insufficient data	insufficient data
1197	24	643	0	18-1	30-12	insufficient data	insufficient data
1198	24	2	0	12-1	13-1	exact match	insufficient data
1199	24	43	0	22	14-6	none	insufficient data
1200	24	10	0	17	16-28	cross-reactive	insufficient data
1201	24	31	0	18-1	3	none	insufficient data
1202	24	500	0	17	16-3	insufficient data	insufficient data
1203	24	689	0	7-2	13	insufficient data	insufficient data
1204	24	10	0	5-1	2-2	cross-reactive	insufficient data
1205	25	7	0	5-2	10-28	insufficient data	cross-reactive
1206	25	7	0	5-2	10-85	insufficient data	cross-reactive
1207	25	24	0	5-1	10-46	insufficient data	cross-reactive
1208	25	24	0	5-1	10-7	insufficient data	cross-reactive
1209	25	651	0	5-2	10-1	insufficient data	cross-reactive
1210	25	7	0	5-1	10-93	insufficient data	cross-reactive
1211	25	606	0	5-1	2-2	insufficient data	cross-reactive
1212	25	7	0	5-2	10-29	insufficient data	cross-reactive
1213	25	130	0	7-4	1	insufficient data	cross-reactive
1214	25	7	0	5-2	10-3	insufficient data	cross-reactive
1215	25	682	0	7-1	1	insufficient data	cross-reactive
1216	25	7	0	5-2	10-51	insufficient data	cross-reactive
1217	25	605	0	5-2	10-1	insufficient data	cross-reactive
1218	26	14	0	17	16-4	insufficient data	insufficient data
1219	30	2	0	18-1	3	exact match	cross-reactive
1220	30	21	0	7-1	4-1	insufficient data	cross-reactive
1221	31	20	0	19	15	insufficient data	insufficient data
1222	31	7	0	5-2	10-1	insufficient data	insufficient data
1223	31	3	100	7	16-26	insufficient data	insufficient data
1224	31	10	0	17	16-3	cross-reactive	insufficient data
1225	34	52	0	22	14-6	insufficient data	insufficient data
1226	37	6	0	22	26	cross-reactive	insufficient data
1227	37	89	116	22	14	cross-reactive	insufficient data
1228	37	654	0	12-1	4	exact match	insufficient data
1229	37	54	0	7-1	1	cross-reactive	insufficient data
1230	37	12	0	17	16-4	cross-reactive	insufficient data
1231	37	6	0	5-26	10-4	cross-reactive	insufficient data
1232	37	49	0	22	14	cross-reactive	insufficient data
1233	37	58	0	5-1	10-13	cross-reactive	insufficient data
1234	37	54	8	18-1	3	exact match	insufficient data
1235	37	6	0	7-1	13	cross-reactive	insufficient data
1236	37	24	0	22	26	cross-reactive	insufficient data
1237	37	628	21	22	14	cross-reactive	insufficient data
1238	37	579	0	5-1	10-1	cross-reactive	insufficient data
1239	37	54	0	18-1	2-16	cross-reactive	insufficient data
1240	37	6	0	5-3	2-16	cross-reactive	insufficient data
1241	37	10	0	5	2	cross-reactive	insufficient data
1242	37	2	0	7-4	15	exact match	insufficient data
1243	37	6	0	5-2	10	cross-reactive	insufficient data
1244	37	6	0	5-1	10-4	cross-reactive	insufficient data
1245	37	6	0	7-1	1	cross-reactive	insufficient data
1246	37	54	8	5-2	10	exact match	insufficient data
1247	37	12	0	5	2	cross-reactive	insufficient data
1248	37	6	0	21	9	cross-reactive	insufficient data
1249	45	115	0	22	14	insufficient data	exact match
1250	45	115	3	22	14	cross-reactive	exact match
1251	45	115	122	22	14	insufficient data	exact match
1252	47	197	0	7-42	4-1	none	cross-reactive
1253	59	50	0	22	15	insufficient data	insufficient data
1254	66	8	0	5-2	10-2	insufficient data	insufficient data
1255	66	20	0	22	14	insufficient data	insufficient data
1256	70	641	1	5	2	insufficient data	insufficient data
1257	73	27	8	20	10-1	exact match	insufficient data
1258	73	358	8	20	10-1	exact match	insufficient data
1259	84	129	0	21-17	16	insufficient data	insufficient data
1260	86	2	91	7-2	4	exact match	insufficient data
1261	94	24	0	19-2	13-1	insufficient data	insufficient data
1262	94	145	0	18-4	25-31	insufficient data	insufficient data
1263	100	649	0	18	25	insufficient data	insufficient data
1264	101	511	1	7-2	16	insufficient data	insufficient data
1265	101	650	0	18-1	3	insufficient data	insufficient data
1266	102	58	0	7-2	30-2	insufficient data	insufficient data
1267	102	191	0	7	30-4	insufficient data	insufficient data
1268	102	653	0	19	15	insufficient data	insufficient data
1269	106	21	0	18-1	3	insufficient data	insufficient data
1270	109	660	0	5-1	2-2	insufficient data	insufficient data
1271	110	2	0	12-1	13-1	exact match	insufficient data
1272	110	2	0	12-1	13-2	exact match	insufficient data
1273	110	17	0	22	9	cross-reactive	insufficient data
1274	111	704	0	18-11	42-2	insufficient data	insufficient data
1275	119	49	0	21	4-13	insufficient data	insufficient data
1276	119	24	0	19-1	15	insufficient data	insufficient data
1277	119	53	0	18-1	3	insufficient data	insufficient data
1278	119	53	0	21	4	exact match	insufficient data
1279	123	2	0	7-2	4	exact match	insufficient data
1280	123	42	0	12-3	4	exact match	insufficient data
1281	139	7	0	5-2	10-1	insufficient data	insufficient data
1282	144	20	1	22	14-26	cross-reactive	insufficient data
1283	144	33	1	7	16	cross-reactive	insufficient data
1284	165	2	0	7-2	4	exact match	insufficient data
1285	191	18	0	22	14	insufficient data	insufficient data
1286	197	114	0	18-1	14	insufficient data	insufficient data
1287	197	114	0	18-1	3	insufficient data	insufficient data
1288	197	114	0	18-1	3-8	insufficient data	insufficient data
1289	197	29	0	18-1	15-1	insufficient data	insufficient data
1290	201	703	3	5	2	cross-reactive	insufficient data
1291	210	21	0	5-1	10-4	insufficient data	insufficient data
1292	218	7	0	5-2	10-1	insufficient data	insufficient data
1293	232	366	0	17	9	cross-reactive	insufficient data
1294	232	249	0	22	14	cross-reactive	insufficient data
1295	232	249	0	17	9-9	cross-reactive	insufficient data
1296	234	89	0	5-1	2-2	insufficient data	insufficient data
1297	245	253	0	5-1	2-2	insufficient data	insufficient data
1298	245	24	0	18-12	10-2	insufficient data	insufficient data
1299	245	21	0	18	13-1	insufficient data	insufficient data
1300	245	253	0	7	14	insufficient data	insufficient data
1301	246	3	1	19	15	insufficient data	insufficient data
1302	252	3	1	19	15	insufficient data	cross-reactive
1303	260	655	3	7-2	13-1	cross-reactive	insufficient data
1304	260	638	21	18-1	3	insufficient data	insufficient data
1305	260	625	0	12-1	4	exact match	insufficient data
1306	260	626	0	7-1	1	insufficient data	insufficient data
1307	260	626	0	5-2	10	insufficient data	insufficient data
1308	260	59	8	5-1	10-1	exact match	insufficient data
1309	260	384	0	12-1	4	exact match	insufficient data
1310	260	49	0	12-1	4	exact match	insufficient data
1311	291	9	0	5-1	10-4	insufficient data	insufficient data
1312	299	20	142	5-1	10-8	insufficient data	insufficient data
1313	321	101	8	22	14-26	exact match	insufficient data
1314	321	101	0	5-2	2-2	insufficient data	insufficient data
1315	321	243	21	5-2	10-1	cross-reactive	insufficient data
1316	321	243	0	5-2	10-1	cross-reactive	insufficient data
1317	321	29	0	5-2	10	insufficient data	insufficient data
1318	321	384	0	5-2	10-1	insufficient data	insufficient data
1319	321	580	0	5-3	2-16	insufficient data	insufficient data
1320	321	89	21	5-2	10-1	insufficient data	insufficient data
1321	323	115	3	22	14	cross-reactive	insufficient data
1322	325	43	0	22	14-6	insufficient data	insufficient data
1323	326	20	0	22	9	insufficient data	insufficient data
1324	326	661	0	22	9	insufficient data	insufficient data
1325	326	20	0	5-2	10-1	insufficient data	insufficient data
1326	329	243	21	22	26	cross-reactive	insufficient data
1327	333	63	0	5-1	2-16	insufficient data	insufficient data
1328	333	81	21	5-1	10-4	insufficient data	insufficient data
1329	336	31	0	19	15	insufficient data	insufficient data
1330	337	521	0	7-2	4	exact match	insufficient data
1331	338	2	0	7-2	4	exact match	insufficient data
1332	393	21	0	22-1	14	insufficient data	insufficient data
1333	394	3	1	7	16-69	insufficient data	insufficient data
1334	405	688	0	22	23	insufficient data	insufficient data
1335	408	7	0	5-2	10-1	insufficient data	insufficient data
1336	456	251	0	5-1	10-62	insufficient data	insufficient data
1337	493	20	0	22	14	insufficient data	insufficient data
1338	510	29	1	18-1	30-2	insufficient data	cross-reactive
1339	510	29	3	5	2	cross-reactive	cross-reactive
1340	510	29	1	22	14-6	insufficient data	cross-reactive
1341	510	29	1	18-1	30	insufficient data	cross-reactive
1342	510	29	1	5	2-1	insufficient data	cross-reactive
1343	538	645	0	7-2	13-1	insufficient data	insufficient data
1344	539	54	8	18-1	3	exact match	insufficient data
1345	557	518	0	7-2	4	exact match	insufficient data
1346	561	685	0	18-10	43	insufficient data	insufficient data
1347	561	724	0	18-10	43	insufficient data	insufficient data
1348	561	718	0	18-10	43	insufficient data	insufficient data
1349	561	719	0	18-10	43	insufficient data	insufficient data
1350	561	683	0	18-10	43	insufficient data	insufficient data
1351	561	730	0	18-10	43	insufficient data	insufficient data
1352	561	686	0	18-10	43	insufficient data	insufficient data
1353	567	720	0	18-10	43	insufficient data	insufficient data
1354	567	740	0	18-10	43	insufficient data	insufficient data
1355	567	726	0	18-10	43	insufficient data	insufficient data
1356	583	3	1	7	16	insufficient data	insufficient data
1357	584	20	0	7-1	1	insufficient data	insufficient data
1358	584	20	0	21	16	insufficient data	insufficient data
1359	584	20	0	7-4	1	insufficient data	insufficient data
1360	584	20	0	22	14	insufficient data	insufficient data
1361	591	24	0	18-1	3	insufficient data	insufficient data
1362	592	118	0	19-2	13-1	insufficient data	insufficient data
1363	593	21	0	21	4	exact match	insufficient data
1364	593	21	0	22	14	insufficient data	insufficient data
1365	594	582	0	20	9	insufficient data	insufficient data
1366	596	2	0	22	13-1	exact match	insufficient data
1367	651	695	0	5-1	2-2	insufficient data	insufficient data
1368	667	81	21	5-1	10-4	insufficient data	insufficient data
1369	689	727	0	18-10	43	insufficient data	insufficient data
1370	691	29	0	22	14-6	insufficient data	insufficient data
1371	691	2	0	22	14-6	exact match	insufficient data
1372	693	6	0	5-1	2-2	insufficient data	insufficient data
1373	711	6	0	21	9	insufficient data	insufficient data
1374	712	115	3	22	14	cross-reactive	insufficient data
1375	713	2	0	12-1	13-1	exact match	insufficient data
1376	714	9	0	5-1	10-4	insufficient data	insufficient data
1377	716	20	0	22	14	insufficient data	insufficient data
1378	717	129	0	7-1	1	insufficient data	insufficient data
1379	718	115	0	22	14	insufficient data	insufficient data
1380	719	118	0	19-2	13	insufficient data	insufficient data
1381	721	58	0	7	30-3	insufficient data	insufficient data
1382	722	3	1	7	16	insufficient data	insufficient data
1383	723	379	0	12-1	13-1	insufficient data	insufficient data
1384	725	658	0	19-1	15-11	insufficient data	insufficient data
1385	772	543	0	18-10	43	insufficient data	insufficient data
1386	773	730	0	18-10	43	insufficient data	insufficient data
1387	804	10	0	17	16-3	cross-reactive	insufficient data
1388	840	7	0	5-1	10-4	insufficient data	insufficient data
1389	4	781	0	7-2	4	exact match	cross-reactive
1390	101	9	0	5-1	10-15	insufficient data	insufficient data
1391	102	17	0	22	9	insufficient data	insufficient data
1392	106	21	0	12-1	13-1	insufficient data	insufficient data
1393	1	120	0	19	15	exact match	cross-reactive
1394	119	33	0	19	15	insufficient data	insufficient data
1395	12	2	0	22	14-6	exact match	insufficient data
1396	1	24	0	5-1	10-26	exact match	cross-reactive
1397	1	3	118	7-4	1	exact match	cross-reactive
1398	13	17	0	17-1	23	insufficient data	cross-reactive
1399	13	17	0	22	26	insufficient data	cross-reactive
1400	13	24	0	22	9	insufficient data	cross-reactive
1401	13	24	0	5-2	10	insufficient data	cross-reactive
1402	13	29	6	18	25-15	cross-reactive	cross-reactive
1403	13	3	100	7	16	insufficient data	cross-reactive
1404	1	34	1	7-2	16-29	exact match	cross-reactive
1405	1	3	58	19-11	15	exact match	cross-reactive
1406	13	9	0	5-1	10-4	insufficient data	cross-reactive
1407	14	57	0	22	14-4	cross-reactive	cross-reactive
1408	14	59	0	5-1	10-13	cross-reactive	cross-reactive
1409	14	60	0	21	16	cross-reactive	cross-reactive
1410	14	6	0	12-1	30	cross-reactive	cross-reactive
1411	147	13	0	18-1	1	insufficient data	insufficient data
1412	14	800	0	12-1	13	cross-reactive	cross-reactive
1413	15	21	0	19-2	13	cross-reactive	cross-reactive
1414	15	21	0	19	15-1	cross-reactive	cross-reactive
1415	16	101	8	19	15	exact match	cross-reactive
1416	16	17	0	5-1	10-1	none	cross-reactive
1417	16	20	0	5-2	10	insufficient data	cross-reactive
1418	16	20	0	5-2	10-1	insufficient data	cross-reactive
1419	16	3	1	19	15	insufficient data	cross-reactive
1420	16	465	0	22	9	insufficient data	cross-reactive
1421	16	62	21	5-3	2-15	insufficient data	cross-reactive
1422	16	802	0	5	2	insufficient data	cross-reactive
1423	16	808	8	18-1	3	exact match	cross-reactive
1424	170	17	0	22	9	insufficient data	insufficient data
1425	17	53	0	21	16	insufficient data	insufficient data
1426	17	53	0	21	16-14	insufficient data	insufficient data
1427	17	53	0	5-1	10-1	insufficient data	insufficient data
1428	19	17	0	5-26	10-6	none	cross-reactive
1429	19	17	0	7	30-2	none	cross-reactive
1430	19	2	0	19-5	15-3	exact match	cross-reactive
1431	19	2	0	20	9	exact match	cross-reactive
1432	19	2	0	22	9	exact match	cross-reactive
1433	19	21	8	19-1	15-11	exact match	cross-reactive
1434	19	29	0	7-1	1	insufficient data	cross-reactive
1435	19	31	0	12-1	13-1	none	cross-reactive
1436	19	43	0	22	4-1	none	cross-reactive
1437	19	622	0	19	15-1	insufficient data	cross-reactive
1438	19	84	0	18-1	3	insufficient data	cross-reactive
1439	2	10	0	18	25-1	cross-reactive	insufficient data
1440	21	47	0	7	16-26	none	cross-reactive
1441	215	122	0	22	14-6	cross-reactive	insufficient data
1442	216	20	1	18-3	1	insufficient data	insufficient data
1443	21	9	0	5-1	10-10	none	cross-reactive
1444	21	9	0	7-1	4-1	none	cross-reactive
1445	2	20	0	5	2	insufficient data	insufficient data
1446	220	21	0	7	30	insufficient data	insufficient data
1447	2	21	0	5-1	10-8	insufficient data	insufficient data
1448	224	316	100	7	16-26	insufficient data	insufficient data
1449	22	806	6	5	2	cross-reactive	insufficient data
1450	23	9	0	5-1	10-29	insufficient data	cross-reactive
1451	24	20	0	18-1	3	insufficient data	insufficient data
1452	24	2	0	5-1	2-2	exact match	insufficient data
1453	24	40	0	18-1	34	insufficient data	insufficient data
1454	24	49	0	21	4	exact match	insufficient data
1455	24	49	0	5	10	insufficient data	insufficient data
